idx,choice1,choice2,choice3,choice4,choice5,choice6
0,0.10564222931861877,0.09540145099163055,0.11837229877710342,0.6805840134620667,0.0,0.0
1,0.18045741319656372,0.11455294489860535,0.5767202377319336,0.12826944887638092,0.0,0.0
2,0.0864863470196724,0.07894991338253021,0.7610437870025635,0.07351996749639511,0.0,0.0
3,0.7101762294769287,0.08815460652112961,0.10308313369750977,0.09858600050210953,0.0,0.0
4,0.06460069119930267,0.6300671696662903,0.06877841055393219,0.23655369877815247,0.0,0.0
5,0.15570656955242157,0.1300634741783142,0.6027048826217651,0.11152509599924088,0.0,0.0
6,0.07855028659105301,0.24529877305030823,0.44908761978149414,0.22706331312656403,0.0,0.0
7,0.27278846502304077,0.5995733737945557,0.06397239118814468,0.06366579234600067,0.0,0.0
8,0.44404786825180054,0.40092888474464417,0.052947111427783966,0.10207605361938477,0.0,0.0
9,0.36328622698783875,0.07215944677591324,0.054110363125801086,0.510443925857544,0.0,0.0
10,0.1241716742515564,0.4654918909072876,0.20925547182559967,0.20108096301555634,0.0,0.0
11,0.08505963534116745,0.7647266387939453,0.07682853192090988,0.07338515669107437,0.0,0.0
12,0.0909862071275711,0.2840559184551239,0.44470810890197754,0.18024979531764984,0.0,0.0
13,0.12117985635995865,0.08547981083393097,0.6228611469268799,0.17047914862632751,0.0,0.0
14,0.392208456993103,0.21266217529773712,0.32011568546295166,0.07501363754272461,0.0,0.0
15,0.30120548605918884,0.31691694259643555,0.18573182821273804,0.19614580273628235,0.0,0.0
16,0.31122633814811707,0.23758049309253693,0.21909156441688538,0.23210163414478302,0.0,0.0
17,0.053275082260370255,0.3768793046474457,0.4874224066734314,0.08242318034172058,0.0,0.0
18,0.22035197913646698,0.5491341948509216,0.1777096688747406,0.05280420556664467,0.0,0.0
19,0.09422335028648376,0.14338167011737823,0.10704361647367477,0.6553514003753662,0.0,0.0
20,0.07851598411798477,0.07811476290225983,0.7494282722473145,0.09394093602895737,0.0,0.0
21,0.05625268444418907,0.04708389565348625,0.4701535701751709,0.4265098571777344,0.0,0.0
22,0.4226429760456085,0.4676063358783722,0.05480049550533295,0.05495008826255798,0.0,0.0
23,0.15385009348392487,0.1698736995458603,0.5188570022583008,0.15741921961307526,0.0,0.0
24,0.3275419771671295,0.308339923620224,0.04428138583898544,0.31983667612075806,0.0,0.0
25,0.17646755278110504,0.12094767391681671,0.14188551902770996,0.3674603998661041,0.19323882460594177,0.0
26,0.18377362191677094,0.3627418279647827,0.3187713325023651,0.13471320271492004,0.0,0.0
27,0.08425433188676834,0.6329095959663391,0.12552951276302338,0.15730655193328857,0.0,0.0
28,0.4814510643482208,0.3888753652572632,0.07573271542787552,0.05394092947244644,0.0,0.0
29,0.5808148384094238,0.15078875422477722,0.13560517132282257,0.13279125094413757,0.0,0.0
30,0.12465792149305344,0.43266773223876953,0.38801637291908264,0.0546579547226429,0.0,0.0
31,0.26955530047416687,0.23572415113449097,0.2862986922264099,0.20842179656028748,0.0,0.0
32,0.21523608267307281,0.23356914520263672,0.2527395784854889,0.2984551191329956,0.0,0.0
33,0.2730637788772583,0.09981858730316162,0.2724565267562866,0.1280914545059204,0.22656960785388947,0.0
34,0.10448430478572845,0.5937715172767639,0.11741852760314941,0.18432562053203583,0.0,0.0
35,0.0779699832201004,0.42903152108192444,0.43960097432136536,0.05339743569493294,0.0,0.0
36,0.052659399807453156,0.3159278333187103,0.3138650953769684,0.31754758954048157,0.0,0.0
37,0.26129278540611267,0.20225439965724945,0.40556803345680237,0.13088475167751312,0.0,0.0
38,0.11381713300943375,0.09300072491168976,0.7060463428497314,0.08713580667972565,0.0,0.0
39,0.2665315568447113,0.23568342626094818,0.24164646863937378,0.25613853335380554,0.0,0.0
40,0.29586783051490784,0.06842990964651108,0.07113510370254517,0.5645670890808105,0.0,0.0
41,0.3219143748283386,0.1690225452184677,0.1767255663871765,0.33233752846717834,0.0,0.0
42,0.45172154903411865,0.04814894124865532,0.45751145482063293,0.0426180437207222,0.0,0.0
43,0.6896277070045471,0.09682067483663559,0.0985441729426384,0.11500749737024307,0.0,0.0
